index,modelname,resolution,orig_graph_orig_img,orig_graph_adv_img,adv_graph_orig_img,adv_graph_adv_img
41,fa_maps-l,II,"[0.8827624320983887, 0.5291563272476196, 0.8750876188278198, 0.6965235471725464, 0.4623742699623108]","[0.7522081136703491, 0.8105858564376831, 0.5397223234176636, 0.5596170425415039, 0.6366144418716431]","[0.012592741288244724, 0.0032495956402271986, 0.014545794576406479, 0.006948875728994608, 0.0056091914884746075]","[0.01705499365925789, 0.007123992312699556, 0.008348683826625347, 0.01988307014107704, 0.006926300935447216]"
8,fa_maps-l,II,"[0.516326904296875, 0.7555152773857117, 0.6532458066940308, 0.7227235436439514, 0.3916698694229126]","[0.5633443593978882, 0.590412974357605, 0.5777101516723633, 0.4980446696281433, 0.5093705058097839]","[0.4915470480918884, 0.002570362761616707, 0.011084211058914661, 0.00604955293238163, 0.4779530465602875]","[0.029500525444746017, 0.07404516637325287, 0.015302877873182297, 0.009931978769600391, 0.028201522305607796]"
57,fa_maps-l,II,"[0.2526397705078125, 0.28199663758277893, 0.11627998948097229, 0.10964938253164291, 0.4241850674152374]","[0.05553098022937775, 0.09357192367315292, 0.11762063205242157, 0.04128585010766983, 0.03229644522070885]","[0.0056404173374176025, 0.010912504978477955, 0.0053380150347948074, 0.0026946733705699444, 0.008213371969759464]","[0.02509378083050251, 0.21091723442077637, 0.10857721418142319, 0.406878799200058, 0.41801097989082336]"
68,fa_maps-l,II,"[0.35233166813850403, 0.1808794140815735, 0.38801297545433044, 0.3271973431110382, 0.1630442887544632]","[0.054620228707790375, 0.025455936789512634, 0.0309106707572937, 0.13400410115718842, 0.3640853762626648]","[0.0034167347475886345, 0.2851909101009369, 0.017572805285453796, 0.003227703506127, 0.006981848273426294]","[0.3559388518333435, 0.22311551868915558, 0.26592904329299927, 0.4098755717277527, 0.004905957728624344]"
0,fa_maps-l,II,"[0.825821042060852, 0.546405017375946, 0.6926318407058716, 0.5001134276390076, 0.4752843379974365]","[0.27619802951812744, 0.49229511618614197, 0.17819805443286896, 0.12049923092126846, 0.10145292431116104]","[0.06555798649787903, 0.004574964754283428, 0.3129747807979584, 0.06510207056999207, 0.051292434334754944]","[0.5394831299781799, 0.47341108322143555, 0.5003037452697754, 0.5905172824859619, 0.45976051688194275]"
83,fa_maps-l,II,"[0.50772625207901, 0.4305417239665985, 0.4609278440475464, 0.49114370346069336, 0.6037447452545166]","[0.5016151070594788, 0.4928267002105713, 0.5339866280555725, 0.5087296962738037, 0.49446916580200195]","[0.2815968990325928, 0.210351824760437, 0.2606908679008484, 0.2732086479663849, 0.3370760679244995]","[0.3039051294326782, 0.31987062096595764, 0.37924474477767944, 0.45659059286117554, 0.38264167308807373]"
62,fa_maps-l,II,"[0.21670755743980408, 0.43175289034843445, 0.1801270842552185, 0.1428886204957962, 0.32632115483283997]","[0.13806746900081635, 0.12318280339241028, 0.36865517497062683, 0.3698292672634125, 0.05074065923690796]","[0.29584410786628723, 0.1846000999212265, 0.3743760287761688, 0.3339844346046448, 0.16950839757919312]","[0.4987717568874359, 0.15252715349197388, 0.30626940727233887, 0.4573621451854706, 0.27857211232185364]"
70,fa_maps-l,II,"[0.5883558988571167, 0.5239484310150146, 0.48049551248550415, 0.5078591108322144, 0.5702335834503174]","[0.4976317286491394, 0.49281570315361023, 0.4800190329551697, 0.5507543087005615, 0.48020023107528687]","[0.48510950803756714, 0.32307836413383484, 0.479218453168869, 0.3196347653865814, 0.32774004340171814]","[0.2550615966320038, 0.4392256736755371, 0.4691750705242157, 0.7078561186790466, 0.4318767488002777]"
47,fa_maps-l,II,"[0.339427649974823, 0.5973691940307617, 0.0312800332903862, 0.08294768631458282, 0.29732295870780945]","[0.12205367535352707, 0.026212308555841446, 0.07669404149055481, 0.41288861632347107, 0.4343104362487793]","[0.3107267916202545, 0.2671964466571808, 0.7898330688476562, 0.31013596057891846, 0.4596359431743622]","[0.3589182496070862, 0.8931716084480286, 0.6853538751602173, 0.5922983884811401, 0.2988528609275818]"
6,fa_maps-l,II,"[0.48335349559783936, 0.3695231080055237, 0.6375607848167419, 0.21769604086875916, 0.14594422280788422]","[0.08594240993261337, 0.09228263795375824, 0.006135855335742235, 0.018675360828638077, 0.016500085592269897]","[0.5091502070426941, 0.35817819833755493, 0.360779345035553, 0.5936633944511414, 0.508294403553009]","[0.7710608243942261, 0.6662665605545044, 0.8548164367675781, 0.7200658321380615, 0.7876513600349426]"
74,fa_maps-l,II,"[0.008690807037055492, 0.11618521809577942, 0.292056143283844, 0.11119503527879715, 0.29136916995048523]","[0.03486621752381325, 0.03391178324818611, 0.020441260188817978, 0.03009905479848385, 0.0058441865257918835]","[0.031386904418468475, 0.46990638971328735, 0.4390557110309601, 0.44350573420524597, 0.4815753996372223]","[0.46166059374809265, 0.43433043360710144, 0.3732767701148987, 0.43622568249702454, 0.4635278582572937]"
5,fa_maps-l,II,"[0.7787874937057495, 0.5206356644630432, 0.6345683336257935, 0.535828709602356, 0.8194394111633301]","[0.01467438880354166, 0.008476892486214638, 0.012707753106951714, 0.007262684404850006, 0.007622302509844303]","[0.008948277682065964, 0.04783536493778229, 0.02350402995944023, 0.05946241691708565, 0.02412099391222]","[0.4661444127559662, 0.5334975123405457, 0.8349602222442627, 0.6462393403053284, 0.6086017489433289]"
82,fa_maps-l,II,"[0.13516567647457123, 0.32232579588890076, 0.15594805777072906, 0.23404639959335327, 0.2044573724269867]","[0.008036188781261444, 0.0011189898941665888, 0.018625598400831223, 0.04766576364636421, 0.37284186482429504]","[0.2358538955450058, 0.17017558217048645, 0.19265097379684448, 0.17822585999965668, 0.2022186517715454]","[0.39563804864883423, 0.7472864389419556, 0.5011741518974304, 0.5394432544708252, 0.2974606156349182]"
66,fa_maps-l,II,"[0.3850274980068207, 0.28722071647644043, 0.3530234396457672, 0.48202624917030334, 0.433790385723114]","[0.44642651081085205, 0.5453600883483887, 0.46844998002052307, 0.47435227036476135, 0.08387769758701324]","[0.37987762689590454, 0.4504816234111786, 0.26676657795906067, 0.4800181984901428, 0.3694457709789276]","[0.4446970224380493, 0.4552145004272461, 0.24445901811122894, 0.4505389928817749, 0.522030770778656]"
96,fa_maps-l,II,"[0.6352667212486267, 0.490285724401474, 0.7332370281219482, 0.23536770045757294, 0.49632903933525085]","[0.005028176587074995, 0.010449003428220749, 0.004093366675078869, 0.015706723555922508, 0.05504510924220085]","[0.020290136337280273, 0.13260403275489807, 0.035397112369537354, 0.2948302626609802, 0.011933843605220318]","[0.9268718957901001, 0.956487774848938, 0.9074175357818604, 0.9216238260269165, 0.6796082854270935]"
27,fa_maps-l,II,"[0.46703824400901794, 0.40752995014190674, 0.4280872344970703, 0.4686495065689087, 0.44974660873413086]","[0.4351213574409485, 0.47434189915657043, 0.48126471042633057, 0.4830920696258545, 0.46020278334617615]","[0.46600061655044556, 0.46416977047920227, 0.3228375017642975, 0.008892652578651905, 0.46896860003471375]","[0.48599952459335327, 0.49103012681007385, 0.48413291573524475, 0.49244076013565063, 0.48876288533210754]"
17,fa_maps-l,II,"[0.33247968554496765, 0.2624136209487915, 0.47325193881988525, 0.45550796389579773, 0.08947610855102539]","[0.4050767421722412, 0.42169836163520813, 0.6385600566864014, 0.4150901436805725, 0.46401503682136536]","[0.241268128156662, 0.3925093710422516, 0.4291881322860718, 0.2790192663669586, 0.29450204968452454]","[0.31724193692207336, 0.42028501629829407, 0.44747763872146606, 0.4370661675930023, 0.49864158034324646]"
54,fa_maps-l,II,"[0.6692789196968079, 0.5527082681655884, 0.6448619365692139, 0.5622948408126831, 0.5585944652557373]","[0.20068132877349854, 0.3548116385936737, 0.09826990962028503, 0.10772420465946198, 0.1269860863685608]","[0.009427537210285664, 0.005015613045543432, 0.00174715684261173, 0.003624193836003542, 0.0021434775553643703]","[0.45349982380867004, 0.3210790455341339, 0.25080054998397827, 0.3304540514945984, 0.3530212938785553]"
49,fa_maps-l,II,"[0.3175757825374603, 0.3641403317451477, 0.4562748670578003, 0.48635464906692505, 0.46885210275650024]","[0.44222962856292725, 0.09473809599876404, 0.40215909481048584, 0.2817729413509369, 0.3174017667770386]","[0.0008688659872859716, 0.0008021545363590121, 0.0030464273877441883, 0.013172043487429619, 0.0015878204721957445]","[0.0019723973236978054, 0.0014591488288715482, 0.003619429189711809, 0.002850978635251522, 0.004118733573704958]"
37,fa_maps-l,II,"[0.49446186423301697, 0.503166675567627, 0.740385115146637, 0.74635910987854, 0.37597060203552246]","[0.5282803773880005, 0.37779656052589417, 0.6064342260360718, 0.29358771443367004, 0.33273857831954956]","[0.01565341278910637, 0.4846346378326416, 0.2388792783021927, 0.2081872969865799, 0.18960890173912048]","[0.6461483836174011, 0.8548895120620728, 0.4402967691421509, 0.5072093605995178, 0.4367857277393341]"
20,fa_maps-l,II,"[0.6395061612129211, 0.09611842036247253, 0.6202950477600098, 0.8314311504364014, 0.9468779563903809]","[0.6469570994377136, 0.6751506924629211, 0.12971113622188568, 0.4425439238548279, 0.890061616897583]","[0.4204131066799164, 0.5157305002212524, 0.4880061745643616, 0.2073529213666916, 0.019415343180298805]","[0.4553157389163971, 0.44023367762565613, 0.48002153635025024, 0.47854146361351013, 0.14594043791294098]"
92,fa_maps-l,II,"[0.17564594745635986, 0.49126583337783813, 0.499019980430603, 0.5674086809158325, 0.4970461130142212]","[0.02713039331138134, 0.047814879566431046, 0.059780336916446686, 0.01847742311656475, 0.050491541624069214]","[0.47985392808914185, 0.4666185975074768, 0.4809170663356781, 0.4722425639629364, 0.4204341769218445]","[0.47873321175575256, 0.4674264192581177, 0.46192029118537903, 0.43654772639274597, 0.48777392506599426]"
38,fa_maps-l,II,"[0.02733166515827179, 0.1667320281267166, 0.03863392397761345, 0.20825694501399994, 0.06227674335241318]","[0.05959783494472504, 0.0367051400244236, 0.09194184094667435, 0.05659646540880203, 0.06145751103758812]","[0.04982767254114151, 0.01629839651286602, 0.06818130612373352, 0.04901401326060295, 0.04975571110844612]","[0.08557534217834473, 0.04194760322570801, 0.0617913194000721, 0.05931282415986061, 0.03538448363542557]"
72,fa_maps-l,II,"[0.17284026741981506, 0.14757736027240753, 0.16833142936229706, 0.31216442584991455, 0.05716961622238159]","[0.0401822030544281, 0.004663421772420406, 0.00162085285410285, 0.01361394114792347, 0.03282896801829338]","[0.1319129914045334, 0.04926548898220062, 0.025269560515880585, 0.07041781395673752, 0.04229925200343132]","[0.41958779096603394, 0.11307273805141449, 0.1368502676486969, 0.008556749671697617, 0.14072799682617188]"
89,fa_maps-l,II,"[0.8797665238380432, 0.9121075868606567, 0.7422569990158081, 0.7606765031814575, 0.6516422033309937]","[0.16369472444057465, 0.02214691787958145, 0.09593206644058228, 0.08904630690813065, 0.020374847576022148]","[0.2508644163608551, 0.35668516159057617, 0.12481344491243362, 0.3154343366622925, 0.4378126859664917]","[0.5096272826194763, 0.8806976675987244, 0.8095263242721558, 0.848395824432373, 0.6009180545806885]"
48,fa_maps-l,II,"[0.40251031517982483, 0.09354482591152191, 0.2425910383462906, 0.4013187885284424, 0.35795196890830994]","[0.5120943784713745, 0.310700386762619, 0.05946093052625656, 0.3413989245891571, 0.15761815011501312]","[0.12654393911361694, 0.18762950599193573, 0.11159002035856247, 0.23861271142959595, 0.34038275480270386]","[0.4390696585178375, 0.35677215456962585, 0.4739508032798767, 0.17230576276779175, 0.4652412533760071]"
99,fa_maps-l,II,"[0.38499125838279724, 0.5920014381408691, 0.5178337693214417, 0.4942306578159332, 0.5008730292320251]","[0.018119050189852715, 0.05030253529548645, 0.03036864660680294, 0.055166564881801605, 0.026301557198166847]","[0.015062590129673481, 0.014261912554502487, 0.4231392741203308, 0.1478261947631836, 0.46007272601127625]","[0.9019796848297119, 0.9395526647567749, 0.8614311218261719, 0.8680609464645386, 0.6877095699310303]"
86,fa_maps-l,II,"[0.47349074482917786, 0.4861498773097992, 0.38556212186813354, 0.4943847954273224, 0.46505850553512573]","[0.058527521789073944, 0.33112359046936035, 0.46568360924720764, 0.4828695058822632, 0.06903809309005737]","[0.19142061471939087, 0.44052422046661377, 0.058951545506715775, 0.4833003282546997, 0.15624132752418518]","[0.5008811354637146, 0.4890121817588806, 0.2326948046684265, 0.48782217502593994, 0.3581320643424988]"
84,fa_maps-l,II,"[0.46235811710357666, 0.038609664887189865, 0.581272304058075, 0.01012971717864275, 0.6218769550323486]","[0.016425400972366333, 0.22429496049880981, 0.007142810150980949, 0.03652650862932205, 0.33148103952407837]","[0.06086977943778038, 0.43706244230270386, 0.017941534519195557, 0.4883309006690979, 0.33831289410591125]","[0.437809556722641, 0.28222981095314026, 0.419194757938385, 0.35177722573280334, 0.6268638968467712]"
3,fa_maps-l,II,"[0.3986872136592865, 0.44878602027893066, 0.45115602016448975, 0.2228221297264099, 0.5064094662666321]","[0.32995355129241943, 0.647476851940155, 0.7081307768821716, 0.49181532859802246, 0.7586525678634644]","[0.21952039003372192, 0.20914854109287262, 0.3629734516143799, 0.2553843855857849, 0.5628719329833984]","[0.3845604360103607, 0.6851222515106201, 0.6527729034423828, 0.5369930267333984, 0.8031965494155884]"
2,fa_maps-l,II,"[0.2688855826854706, 0.2409803867340088, 0.566861093044281, 0.6820030212402344, 0.1894264668226242]","[0.723585844039917, 0.5220259428024292, 0.4370585083961487, 0.39453190565109253, 0.09032071381807327]","[0.36356329917907715, 0.11532600969076157, 0.549542248249054, 0.5502246022224426, 0.15727292001247406]","[0.6376690864562988, 0.6967366933822632, 0.3588297367095947, 0.2145375907421112, 0.26592719554901123]"
12,fa_maps-l,II,"[0.2516815662384033, 0.9080681204795837, 0.9053363800048828, 0.8038510084152222, 0.6587759256362915]","[0.21702098846435547, 0.21598279476165771, 0.17765849828720093, 0.1675669550895691, 0.29481035470962524]","[0.8235408663749695, 0.25304311513900757, 0.3048190176486969, 0.1512056291103363, 0.3805193305015564]","[0.8357999324798584, 0.557835042476654, 0.4856037199497223, 0.36236950755119324, 0.6595306396484375]"
50,fa_maps-l,II,"[0.2911953032016754, 0.14272570610046387, 0.1899140626192093, 0.2210480123758316, 0.2442219853401184]","[0.38250571489334106, 0.16733337938785553, 0.299607515335083, 0.04672111198306084, 0.3365788459777832]","[0.08734279870986938, 0.3976558744907379, 0.14132027328014374, 0.040191683918237686, 0.02682068571448326]","[0.25842395424842834, 0.19263313710689545, 0.11381290853023529, 0.028481677174568176, 0.29623907804489136]"
36,fa_maps-l,II,"[0.3404720425605774, 0.1032462865114212, 0.28433525562286377, 0.055960703641176224, 0.030292699113488197]","[0.024478603154420853, 0.18444350361824036, 0.03547079488635063, 0.049905359745025635, 0.03408656269311905]","[0.31077253818511963, 0.1636257767677307, 0.1675853580236435, 0.11638519167900085, 0.3057970702648163]","[0.15844786167144775, 0.4265829026699066, 0.10296894609928131, 0.4533734917640686, 0.016606643795967102]"
55,fa_maps-l,II,"[0.13252316415309906, 0.07140187919139862, 0.025508811697363853, 0.03976038470864296, 0.02369990013539791]","[0.06040877103805542, 0.08657728135585785, 0.05921327322721481, 0.019806282594799995, 0.00866199005395174]","[0.0027965614572167397, 0.0022111316211521626, 0.0012558387825265527, 0.0025882446207106113, 0.002205585828050971]","[0.0008801996009424329, 0.004356312099844217, 0.003332690102979541, 0.0003587020037230104, 0.0014612044906243682]"
46,fa_maps-l,II,"[0.2929028570652008, 0.4938657283782959, 0.58385169506073, 0.6018341779708862, 0.4566646218299866]","[0.285071462392807, 0.0700201764702797, 0.15392494201660156, 0.5300371050834656, 0.15163001418113708]","[0.16776272654533386, 0.11134368926286697, 0.15236815810203552, 0.037261269986629486, 0.1382783204317093]","[0.07980911433696747, 0.27367448806762695, 0.12102207541465759, 0.12377958744764328, 0.30423709750175476]"
29,fa_maps-l,II,"[0.45114389061927795, 0.20036280155181885, 0.45237529277801514, 0.3707602024078369, 0.437568336725235]","[0.34855344891548157, 0.25910162925720215, 0.35807812213897705, 0.22226303815841675, 0.4045732319355011]","[0.16803811490535736, 0.003886305959895253, 0.22505134344100952, 0.06376121938228607, 0.09196823090314865]","[0.26294901967048645, 0.3443257212638855, 0.363664448261261, 0.22933360934257507, 0.3545510470867157]"
59,fa_maps-l,II,"[0.32176122069358826, 0.08158868551254272, 0.18536899983882904, 0.14642909169197083, 0.0383550301194191]","[0.039962466806173325, 0.10097671300172806, 0.11925506591796875, 0.03726247698068619, 0.061211973428726196]","[0.4284161329269409, 0.10961812734603882, 0.41137638688087463, 0.4957658052444458, 0.26295268535614014]","[0.22362399101257324, 0.5270084142684937, 0.33925488591194153, 0.08198663592338562, 0.2962270975112915]"
26,fa_maps-l,II,"[0.09908301383256912, 0.41927370429039, 0.42200544476509094, 0.3689796030521393, 0.34746038913726807]","[0.35167720913887024, 0.3027533292770386, 0.3622419238090515, 0.39681002497673035, 0.06481077522039413]","[0.0030909236520528793, 0.03085557371377945, 0.0023267418146133423, 0.002937477547675371, 0.0029021475929766893]","[0.006146580912172794, 0.017206689342856407, 0.014745144173502922, 0.00721087446436286, 0.008266564458608627]"
64,fa_maps-l,II,"[0.4234648644924164, 0.5465818643569946, 0.08763786405324936, 0.3243490159511566, 0.49246537685394287]","[0.2068687081336975, 0.21589435636997223, 0.02073786035180092, 0.4437226951122284, 0.05924717336893082]","[0.6632806062698364, 0.21806864440441132, 0.5643638968467712, 0.626650333404541, 0.5311206579208374]","[0.6622918844223022, 0.5894308686256409, 0.8016575574874878, 0.5044754147529602, 0.9207704067230225]"
31,fa_maps-l,II,"[0.061489738523960114, 0.06851370632648468, 0.03247353807091713, 0.09056155383586884, 0.21035870909690857]","[0.056924138218164444, 0.07669921964406967, 0.08052332699298859, 0.032201431691646576, 0.06104346364736557]","[0.051578473299741745, 0.012608276680111885, 0.008023736998438835, 0.039570000022649765, 0.04131573438644409]","[0.018889732658863068, 0.026129774749279022, 0.009455598890781403, 0.01548604853451252, 0.020591100677847862]"
69,fa_maps-l,II,"[0.14672274887561798, 0.03488916531205177, 0.37653324007987976, 0.4098527133464813, 0.14591147005558014]","[0.42072778940200806, 0.011745504103600979, 0.46512269973754883, 0.20046353340148926, 0.5610564947128296]","[0.006566368974745274, 0.44133812189102173, 0.04163963347673416, 0.03371695801615715, 0.05592164397239685]","[0.5477686524391174, 0.3812260925769806, 0.720417857170105, 0.22580265998840332, 0.28968605399131775]"
14,fa_maps-l,II,"[0.2548351585865021, 0.27113962173461914, 0.1743302047252655, 0.3516163229942322, 0.33485129475593567]","[0.01472509279847145, 0.18234781920909882, 0.03575202077627182, 0.026299240067601204, 0.07444830983877182]","[0.008973130956292152, 0.008750534616410732, 0.01255838107317686, 0.0029106037691235542, 0.004317272454500198]","[0.6202765107154846, 0.2684037685394287, 0.6382663249969482, 0.5598573684692383, 0.5369358658790588]"
13,fa_maps-l,II,"[0.5531977415084839, 0.6658100485801697, 0.5226600766181946, 0.26071101427078247, 0.5169941186904907]","[0.06818662583827972, 0.1377635896205902, 0.16790466010570526, 0.09730153530836105, 0.0492527149617672]","[0.037848472595214844, 0.018877094611525536, 0.015559883788228035, 0.010452726855874062, 0.009781692177057266]","[0.1652463972568512, 0.4551646113395691, 0.12046565860509872, 0.43650609254837036, 0.5153112411499023]"
63,fa_maps-l,II,"[0.7506418228149414, 0.45756861567497253, 0.6025964021682739, 0.26920169591903687, 0.5233292579650879]","[0.01712721586227417, 0.12556025385856628, 0.05948757380247116, 0.07225488126277924, 0.07294637709856033]","[0.03412676230072975, 0.27166321873664856, 0.04241570085287094, 0.02045852318406105, 0.2546531558036804]","[0.5253437161445618, 0.4312312602996826, 0.7004316449165344, 0.6389477252960205, 0.6645781993865967]"
11,fa_maps-l,II,"[0.3699517250061035, 0.5459028482437134, 0.6347970962524414, 0.3097096085548401, 0.4025476574897766]","[0.1275426298379898, 0.289172500371933, 0.15911565721035004, 0.28261059522628784, 0.15904507040977478]","[0.007858578115701675, 0.05398108810186386, 0.039461687207221985, 0.03323096036911011, 0.021151330322027206]","[0.23201262950897217, 0.24120621383190155, 0.04345055669546127, 0.022336984053254128, 0.418662965297699]"
40,fa_maps-l,II,"[0.5932407975196838, 0.8543574810028076, 0.8440769910812378, 0.6106862425804138, 0.6554602384567261]","[0.133830726146698, 0.7181515693664551, 0.4648815095424652, 0.44562989473342896, 0.7490890026092529]","[0.4174633324146271, 0.01507590152323246, 0.1537608802318573, 0.4943954050540924, 0.22645293176174164]","[0.42551663517951965, 0.059642940759658813, 0.10427672415971756, 0.23843418061733246, 0.1156267374753952]"
42,fa_maps-l,II,"[0.38186073303222656, 0.36634552478790283, 0.12481626868247986, 0.4187990427017212, 0.35543814301490784]","[0.020289046689867973, 0.002481044502928853, 0.06950852274894714, 0.014460400678217411, 0.003979044035077095]","[0.391181081533432, 0.09139877557754517, 0.2985759377479553, 0.3079410195350647, 0.3244805932044983]","[0.49971362948417664, 0.4755151569843292, 0.5840966105461121, 0.535273551940918, 0.4754441976547241]"
12,base-l,I,"[0.6904623508453369, 0.5447595715522766, 0.7068561911582947, 0.9033489227294922, 0.6495617628097534]","[0.3893895745277405, 0.29990994930267334, 0.10323046892881393, 0.4619399905204773, 0.3889516592025757]","[0.10488586872816086, 0.04029420018196106, 0.3075042963027954, 0.03216708451509476, 0.46500110626220703]","[0.41889631748199463, 0.8277398943901062, 0.7022793889045715, 0.5121810436248779, 0.18252338469028473]"
35,base-l,I,"[0.6900984048843384, 0.4019598364830017, 0.11825790256261826, 0.1541675180196762, 0.051441773772239685]","[0.025026835501194, 0.006677345838397741, 0.013880033046007156, 0.005825849249958992, 0.012103951536118984]","[0.122482068836689, 0.03828541189432144, 0.22685544192790985, 0.36773446202278137, 0.17078903317451477]","[0.127709299325943, 0.3938499093055725, 0.5511142611503601, 0.07357607781887054, 0.427318274974823]"
73,base-l,I,"[0.21652820706367493, 0.1980997920036316, 0.2580571472644806, 0.22498808801174164, 0.1395125836133957]","[0.044834963977336884, 0.043836403638124466, 0.053466398268938065, 0.025167670100927353, 0.07264154404401779]","[0.059013258665800095, 0.06644286960363388, 0.08006258308887482, 0.07527457177639008, 0.08880496025085449]","[0.3448505699634552, 0.12707126140594482, 0.3807717263698578, 0.11167506128549576, 0.26004788279533386]"
84,base-l,I,"[0.5173729658126831, 0.006309117190539837, 0.7591599225997925, 0.5474839210510254, 0.042738690972328186]","[0.199433833360672, 0.008716502226889133, 0.19001787900924683, 0.06131492555141449, 0.02650371752679348]","[0.3779301941394806, 0.48925837874412537, 0.01910526119172573, 0.355933278799057, 0.4608800709247589]","[0.8736622333526611, 0.42260804772377014, 0.38143497705459595, 0.28642842173576355, 0.42678579688072205]"
38,base-l,I,"[0.07099941372871399, 0.024935001507401466, 0.028761785477399826, 0.09920599311590195, 0.12495914846658707]","[0.04600907862186432, 0.04080119729042053, 0.024465397000312805, 0.05105707794427872, 0.05440783500671387]","[0.0624670535326004, 0.037373922765254974, 0.02751363441348076, 0.03445044159889221, 0.09213989228010178]","[0.10251100361347198, 0.04721517860889435, 0.06170523911714554, 0.03603971749544144, 0.06504477560520172]"
49,base-l,I,"[0.4309837818145752, 0.39111173152923584, 0.30838724970817566, 0.3518196940422058, 0.3238828778266907]","[0.43110689520835876, 0.21825751662254333, 0.27012133598327637, 0.2964201867580414, 0.4171476364135742]","[0.001294296933338046, 0.001195311895571649, 0.0016031365375965834, 0.0037038703449070454, 0.0036622455809265375]","[0.007901481352746487, 0.003094210522249341, 0.0016880882903933525, 0.003324494231492281, 0.007686486002057791]"
13,base-l,I,"[0.6437347531318665, 0.6616144776344299, 0.5559331178665161, 0.554616391658783, 0.2948068678379059]","[0.19787031412124634, 0.029661186039447784, 0.2112935185432434, 0.0437992624938488, 0.13018052279949188]","[0.009100793860852718, 0.015469321981072426, 0.00799480825662613, 0.03031647391617298, 0.0035235739778727293]","[0.1680527627468109, 0.593199610710144, 0.06487451493740082, 0.4633757472038269, 0.16932806372642517]"
25,base-l,I,"[0.4317598342895508, 0.6988838315010071, 0.892397940158844, 0.5343561768531799, 0.6605997085571289]","[0.37539950013160706, 0.37322986125946045, 0.11187821626663208, 0.5609529614448547, 0.2688867449760437]","[0.013392169028520584, 0.004569875542074442, 0.018859582021832466, 0.008295945823192596, 0.02672646939754486]","[0.016892030835151672, 0.036046385765075684, 0.0028895093128085136, 0.00904814526438713, 0.011287739500403404]"
52,base-l,I,"[0.24316683411598206, 0.40210840106010437, 0.3282647430896759, 0.16261228919029236, 0.39255189895629883]","[0.1198304146528244, 0.07850910723209381, 0.03572418913245201, 0.2926023006439209, 0.2653885781764984]","[0.19232319295406342, 0.028613854199647903, 0.02938351035118103, 0.14665646851062775, 0.05750763416290283]","[0.27789291739463806, 0.16373760998249054, 0.016568217426538467, 0.07454373687505722, 0.16372984647750854]"
42,base-l,I,"[0.2777022421360016, 0.173532173037529, 0.44572028517723083, 0.44631654024124146, 0.3756781220436096]","[0.037085533142089844, 0.006522065028548241, 0.08536002039909363, 0.14072762429714203, 0.082497239112854]","[0.2267901599407196, 0.27127569913864136, 0.4468913674354553, 0.3203694224357605, 0.4422416388988495]","[0.4823119342327118, 0.47012269496917725, 0.6012506484985352, 0.5669799447059631, 0.549486517906189]"
8,base-l,I,"[0.4955745339393616, 0.3248279094696045, 0.6605567336082458, 0.505085289478302, 0.5395740270614624]","[0.5635181665420532, 0.6866651177406311, 0.47017621994018555, 0.4590483605861664, 0.5809178352355957]","[0.005536886863410473, 0.48557183146476746, 0.00825117900967598, 0.018101941794157028, 0.014410515315830708]","[0.054781652987003326, 0.03251998499035835, 0.07487466931343079, 0.007566340267658234, 0.02047060616314411]"
92,base-l,I,"[0.5402417182922363, 0.4686802327632904, 0.5047478079795837, 0.41192367672920227, 0.03437042608857155]","[0.02815784513950348, 0.0390191376209259, 0.029717491939663887, 0.0433175303041935, 0.11405940353870392]","[0.4790993630886078, 0.43371331691741943, 0.46094411611557007, 0.47940924763679504, 0.48697784543037415]","[0.38105785846710205, 0.4825397729873657, 0.4818013906478882, 0.490645170211792, 0.47546133399009705]"
7,base-l,I,"[0.42945000529289246, 0.5227450728416443, 0.456315279006958, 0.3840494751930237, 0.36568683385849]","[0.05605601891875267, 0.2171383500099182, 0.2231844961643219, 0.013087460771203041, 0.19603361189365387]","[0.03392231464385986, 0.04042329639196396, 0.024403957650065422, 0.014240128919482231, 0.0034274517092853785]","[0.008799595758318901, 0.013350807130336761, 0.0017970427870750427, 0.003159627551212907, 0.1681852787733078]"
37,base-l,I,"[0.590964138507843, 0.35588279366493225, 0.5929298400878906, 0.627435028553009, 0.5138657689094543]","[0.3797890543937683, 0.6965513229370117, 0.2538672387599945, 0.5252770781517029, 0.5066636800765991]","[0.23187729716300964, 0.21140128374099731, 0.5110859274864197, 0.4373939037322998, 0.4724659323692322]","[0.7324106693267822, 0.38393378257751465, 0.5037266612052917, 0.8662018775939941, 0.6250267028808594]"
85,base-l,I,"[0.21161794662475586, 0.9250099658966064, 0.12278875708580017, 0.5046334266662598, 0.06741642951965332]","[0.06532054394483566, 0.02504507079720497, 0.021059386432170868, 0.07398420572280884, 0.03138846904039383]","[0.8617604970932007, 0.030246054753661156, 0.6231392025947571, 0.6875195503234863, 0.7648972272872925]","[0.7458473443984985, 0.8533123135566711, 0.8698644042015076, 0.6783668994903564, 0.6806929707527161]"
65,base-l,I,"[0.9355744123458862, 0.8369929790496826, 0.946677565574646, 0.8030415177345276, 0.8928462862968445]","[0.3306078612804413, 0.02600754052400589, 0.558150589466095, 0.032627299427986145, 0.04264369234442711]","[0.05903292074799538, 0.05469104275107384, 0.08113860338926315, 0.025020059198141098, 0.10833365470170975]","[0.5419626235961914, 0.839471697807312, 0.5416064858436584, 0.6537270545959473, 0.8008126616477966]"
