index,modelname,resolution,orig_graph_orig_img,orig_graph_adv_img,adv_graph_orig_img,adv_graph_adv_img
7,fa_maps-l,I,"[0.421636700630188, 0.4802480936050415, 0.3772868514060974, 0.4566154181957245, 0.4033341407775879]","[0.0850723534822464, 0.04724043235182762, 0.17316719889640808, 0.035568442195653915, 0.0840936154127121]","[0.16420850157737732, 0.022021399810910225, 0.031152894720435143, 0.011479741893708706, 0.006940195336937904]","[0.017481034621596336, 0.2891594469547272, 0.001660072710365057, 0.0009026653133332729, 0.09480517357587814]"
37,fa_maps-l,I,"[0.7702142000198364, 0.49936211109161377, 0.4889333248138428, 0.6716713905334473, 0.5162489414215088]","[0.2728863060474396, 0.402835875749588, 0.3458936810493469, 0.5296290516853333, 0.43572530150413513]","[0.08534621447324753, 0.20400471985340118, 0.03027595952153206, 0.302315890789032, 0.467601478099823]","[0.8842625617980957, 0.71893310546875, 0.3914799094200134, 0.6063295602798462, 0.7734618186950684]"
85,fa_maps-l,I,"[0.12921270728111267, 0.9265592098236084, 0.1469077318906784, 0.3718756437301636, 0.11000504344701767]","[0.05884246528148651, 0.08278364688158035, 0.09654256701469421, 0.20515848696231842, 0.04328455775976181]","[0.42344436049461365, 0.013774748891592026, 0.3013403117656708, 0.760400652885437, 0.7935947179794312]","[0.6710308790206909, 0.9296426773071289, 0.8660365343093872, 0.7700594663619995, 0.7771120071411133]"
65,fa_maps-l,I,"[0.8490473628044128, 0.7817754745483398, 0.9498975872993469, 0.9190582036972046, 0.8943345546722412]","[0.18544894456863403, 0.10939629375934601, 0.4381422698497772, 0.07969923317432404, 0.10069166123867035]","[0.07673041522502899, 0.06964056193828583, 0.09977447241544724, 0.019632428884506226, 0.12276866286993027]","[0.5733330845832825, 0.7688612937927246, 0.5290515422821045, 0.6375612020492554, 0.7175845503807068]"
93,fa_maps-l,I,"[0.7769612073898315, 0.374652624130249, 0.48821118474006653, 0.826388955116272, 0.029670072719454765]","[0.01371694914996624, 0.017408257350325584, 0.3660508692264557, 0.41400137543678284, 0.12691844999790192]","[0.05428380146622658, 0.004976201802492142, 0.05902661383152008, 0.10465223342180252, 0.3433745503425598]","[0.021210575476288795, 0.1678505688905716, 0.2949528992176056, 0.04213269054889679, 0.025144856423139572]"
20,fa_maps-l,I,"[0.05949203297495842, 0.5441198348999023, 0.6993122696876526, 0.7239269018173218, 0.9508594274520874]","[0.7576394081115723, 0.5877264738082886, 0.7466217875480652, 0.16464418172836304, 0.22180472314357758]","[0.38556209206581116, 0.47912612557411194, 0.25528818368911743, 0.3809093236923218, 0.020070485770702362]","[0.4452879726886749, 0.48528456687927246, 0.22005391120910645, 0.4865735173225403, 0.4777110517024994]"
83,fa_maps-l,I,"[0.47139471769332886, 0.49471187591552734, 0.47095662355422974, 0.6255674362182617, 0.463357537984848]","[0.5244425535202026, 0.5733520984649658, 0.4941641390323639, 0.5307316780090332, 0.5145672559738159]","[0.20651543140411377, 0.36336827278137207, 0.29132843017578125, 0.44685864448547363, 0.313178688287735]","[0.34673744440078735, 0.29850882291793823, 0.3263155519962311, 0.46542078256607056, 0.4484124779701233]"
47,fa_maps-l,I,"[0.1586361974477768, 0.32341820001602173, 0.0649523138999939, 0.723375678062439, 0.1596217155456543]","[0.11126132309436798, 0.3605954051017761, 0.530638575553894, 0.015208765864372253, 0.39235082268714905]","[0.31239762902259827, 0.4414753019809723, 0.8151794672012329, 0.2267003059387207, 0.17568844556808472]","[0.7623437643051147, 0.2832413911819458, 0.25338631868362427, 0.8060075044631958, 0.5736503601074219]"
62,fa_maps-l,I,"[0.147101491689682, 0.26230958104133606, 0.42543914914131165, 0.3519362509250641, 0.19529883563518524]","[0.28616684675216675, 0.08724651485681534, 0.04487612470984459, 0.09871622174978256, 0.2592838406562805]","[0.3348880410194397, 0.3830166757106781, 0.15733590722084045, 0.38221216201782227, 0.3194718062877655]","[0.2904932200908661, 0.2902584671974182, 0.3823738992214203, 0.43582022190093994, 0.4753175675868988]"
17,fa_maps-l,I,"[0.4509170949459076, 0.47644302248954773, 0.3837807774543762, 0.3767249584197998, 0.19896425306797028]","[0.49245691299438477, 0.4475344717502594, 0.3915468156337738, 0.49482858180999756, 0.4398202896118164]","[0.2150617390871048, 0.39053624868392944, 0.06138967350125313, 0.11091567575931549, 0.23435205221176147]","[0.24999822676181793, 0.3384025990962982, 0.227390855550766, 0.3153010606765747, 0.44271960854530334]"
